algorithm,n,tipo,dominio,muestra,time_ms,memory_kb
naive,16,dispersa,D0,a,0.006033,4
strassen,16,dispersa,D0,a,1.42225,24
naive,16,dispersa,D0,b,0.004489,4
strassen,16,dispersa,D0,b,1.3498,24
naive,16,dispersa,D0,c,0.004443,4
strassen,16,dispersa,D0,c,1.45117,24
naive,16,dispersa,D10,a,0.004313,4
strassen,16,dispersa,D10,a,1.36998,24
naive,16,dispersa,D10,b,0.004313,4
strassen,16,dispersa,D10,b,1.34283,24
naive,16,dispersa,D10,c,0.00427,4
strassen,16,dispersa,D10,c,1.39167,24
naive,16,diagonal,D0,a,0.004235,4
strassen,16,diagonal,D0,a,1.36066,24
naive,16,diagonal,D0,b,0.004314,4
strassen,16,diagonal,D0,b,1.42441,24
naive,16,diagonal,D0,c,0.004142,4
strassen,16,diagonal,D0,c,1.4092,24
naive,16,diagonal,D10,a,0.004166,4
strassen,16,diagonal,D10,a,1.35348,24
naive,16,diagonal,D10,b,0.004229,4
strassen,16,diagonal,D10,b,1.52911,24
naive,16,diagonal,D10,c,0.004673,4
strassen,16,diagonal,D10,c,1.37395,24
naive,16,densa,D0,a,0.004659,4
strassen,16,densa,D0,a,1.68459,24
naive,16,densa,D0,b,0.004621,4
strassen,16,densa,D0,b,1.39289,24
naive,16,densa,D0,c,0.004713,4
strassen,16,densa,D0,c,1.61887,24
naive,16,densa,D10,a,0.00502,4
strassen,16,densa,D10,a,1.45034,24
naive,16,densa,D10,b,0.00465,4
strassen,16,densa,D10,b,1.38715,24
naive,16,densa,D10,c,0.004435,4
strassen,16,densa,D10,c,1.46149,24
naive,64,dispersa,D0,a,0.169481,52
strassen,64,dispersa,D0,a,66.179,265
naive,64,dispersa,D0,b,0.141613,52
strassen,64,dispersa,D0,b,63.664,265
naive,64,dispersa,D0,c,0.158637,52
strassen,64,dispersa,D0,c,64.5605,265
naive,64,dispersa,D10,a,0.14456,52
strassen,64,dispersa,D10,a,68.9241,265
naive,64,dispersa,D10,b,0.155748,52
strassen,64,dispersa,D10,b,64.0552,265
naive,64,dispersa,D10,c,0.142072,52
strassen,64,dispersa,D10,c,62.3057,265
naive,64,diagonal,D0,a,0.147559,52
strassen,64,diagonal,D0,a,62.9318,265
naive,64,diagonal,D0,b,0.149148,52
strassen,64,diagonal,D0,b,62.3085,265
naive,64,diagonal,D0,c,0.150928,52
strassen,64,diagonal,D0,c,64.4344,265
naive,64,diagonal,D10,a,0.141275,52
strassen,64,diagonal,D10,a,74.9347,265
naive,64,diagonal,D10,b,0.246107,52
strassen,64,diagonal,D10,b,70.6785,265
naive,64,diagonal,D10,c,0.145666,52
strassen,64,diagonal,D10,c,68.4499,265
naive,64,densa,D0,a,0.153405,52
strassen,64,densa,D0,a,63.7664,265
naive,64,densa,D0,b,0.14943,52
strassen,64,densa,D0,b,63.378,265
naive,64,densa,D0,c,0.17375,52
strassen,64,densa,D0,c,64.1273,265
naive,64,densa,D10,a,0.152448,52
strassen,64,densa,D10,a,65.825,265
naive,64,densa,D10,b,0.147202,52
strassen,64,densa,D10,b,63.9026,265
naive,64,densa,D10,c,0.148901,52
strassen,64,densa,D10,c,63.8682,265
naive,256,dispersa,D0,a,8.87538,787
strassen,256,dispersa,D0,a,3100.79,3751
naive,256,dispersa,D0,b,8.74059,787
strassen,256,dispersa,D0,b,3199.07,3751
naive,256,dispersa,D0,c,8.72906,787
strassen,256,dispersa,D0,c,3244.19,3751
naive,256,dispersa,D10,a,8.67839,787
strassen,256,dispersa,D10,a,3303.4,3751
naive,256,dispersa,D10,b,8.52426,787
strassen,256,dispersa,D10,b,3454.66,3751
naive,256,dispersa,D10,c,8.87305,787
strassen,256,dispersa,D10,c,3276.9,3751
naive,256,diagonal,D0,a,10.5856,787
strassen,256,diagonal,D0,a,3300.25,3751
naive,256,diagonal,D0,b,8.366,787
strassen,256,diagonal,D0,b,3195.84,3751
naive,256,diagonal,D0,c,8.82188,787
strassen,256,diagonal,D0,c,3246.83,3751
naive,256,diagonal,D10,a,9.41584,787
strassen,256,diagonal,D10,a,3389.05,3751
naive,256,diagonal,D10,b,8.64287,787
strassen,256,diagonal,D10,b,3282.11,3751
naive,256,diagonal,D10,c,9.91417,787
strassen,256,diagonal,D10,c,3539.89,3751
naive,256,densa,D0,a,8.80822,787
strassen,256,densa,D0,a,3816.91,3751
naive,256,densa,D0,b,10.3371,787
strassen,256,densa,D0,b,3734.15,3751
naive,256,densa,D0,c,10.9609,787
strassen,256,densa,D0,c,3703.2,3751
naive,256,densa,D10,a,9.9725,787
strassen,256,densa,D10,a,3527.11,3751
naive,256,densa,D10,b,9.12764,787
strassen,256,densa,D10,b,3332.56,3751
naive,256,densa,D10,c,8.80232,787
strassen,256,densa,D10,c,3367.4,3751
naive,1024,dispersa,D0,a,1292.63,12364
strassen,1024,dispersa,D0,a,158512,58015
naive,1024,dispersa,D0,b,873.441,12364
strassen,1024,dispersa,D0,b,148638,58015
naive,1024,dispersa,D0,c,940.098,12364
strassen,1024,dispersa,D0,c,149407,58015
naive,1024,dispersa,D10,a,1027.97,12364
strassen,1024,dispersa,D10,a,149276,58015
naive,1024,dispersa,D10,b,1112.62,12364
strassen,1024,dispersa,D10,b,150177,58015
naive,1024,dispersa,D10,c,921.463,12364
strassen,1024,dispersa,D10,c,147710,58015
naive,1024,diagonal,D0,a,898.244,12364
strassen,1024,diagonal,D0,a,147903,58015
naive,1024,diagonal,D0,b,877.705,12364
strassen,1024,diagonal,D0,b,147974,58015
naive,1024,diagonal,D0,c,892.65,12364
strassen,1024,diagonal,D0,c,148178,58015
naive,1024,diagonal,D10,a,1009.05,12364
strassen,1024,diagonal,D10,a,149429,58015
naive,1024,diagonal,D10,b,1016.42,12364
strassen,1024,diagonal,D10,b,156233,58015
naive,1024,diagonal,D10,c,1263.24,12364
strassen,1024,diagonal,D10,c,157406,58015
naive,1024,densa,D0,a,1506.38,12364
strassen,1024,densa,D0,a,159619,58015
naive,1024,densa,D0,b,1168.43,12364
strassen,1024,densa,D0,b,158242,58015
naive,1024,densa,D0,c,1203.46,12364
