algorithm,n,tipo,dominio,muestra,time_ms,memory_kb
mergesort,10,ascendente,D1,a,0.00172,0
quicksort,10,ascendente,D1,a,0.001204,0
stdsort,10,ascendente,D1,a,0.00028,0
mergesort,10,ascendente,D1,b,0.001171,0
quicksort,10,ascendente,D1,b,0.000789,0
stdsort,10,ascendente,D1,b,0.000238,0
mergesort,10,ascendente,D1,c,0.001365,0
quicksort,10,ascendente,D1,c,0.000651,0
stdsort,10,ascendente,D1,c,0.000148,0
mergesort,10,ascendente,D7,a,0.001036,0
quicksort,10,ascendente,D7,a,0.000517,0
stdsort,10,ascendente,D7,a,0.000174,0
mergesort,10,ascendente,D7,b,0.131526,0
quicksort,10,ascendente,D7,b,0.000795,0
stdsort,10,ascendente,D7,b,0.000173,0
mergesort,10,ascendente,D7,c,0.001028,0
quicksort,10,ascendente,D7,c,0.000587,0
stdsort,10,ascendente,D7,c,0.000166,0
mergesort,10,descendente,D1,a,0.001121,0
quicksort,10,descendente,D1,a,0.000695,0
stdsort,10,descendente,D1,a,0.000349,0
mergesort,10,descendente,D1,b,0.001084,0
quicksort,10,descendente,D1,b,0.000472,0
stdsort,10,descendente,D1,b,0.000279,0
mergesort,10,descendente,D1,c,0.001057,0
quicksort,10,descendente,D1,c,0.000925,0
stdsort,10,descendente,D1,c,0.000345,0
mergesort,10,descendente,D7,a,0.001157,0
quicksort,10,descendente,D7,a,0.00065,0
stdsort,10,descendente,D7,a,0.000301,0
mergesort,10,descendente,D7,b,0.001304,0
quicksort,10,descendente,D7,b,0.000872,0
stdsort,10,descendente,D7,b,0.00027,0
mergesort,10,descendente,D7,c,0.001161,0
quicksort,10,descendente,D7,c,0.000793,0
stdsort,10,descendente,D7,c,0.000267,0
mergesort,10,aleatorio,D1,a,0.001251,0
quicksort,10,aleatorio,D1,a,0.00073,0
stdsort,10,aleatorio,D1,a,0.000243,0
mergesort,10,aleatorio,D1,b,0.001116,0
quicksort,10,aleatorio,D1,b,0.000846,0
stdsort,10,aleatorio,D1,b,0.00027,0
mergesort,10,aleatorio,D1,c,0.001096,0
quicksort,10,aleatorio,D1,c,0.000718,0
stdsort,10,aleatorio,D1,c,0.000349,0
mergesort,10,aleatorio,D7,a,0.001505,0
quicksort,10,aleatorio,D7,a,0.000707,0
stdsort,10,aleatorio,D7,a,0.000252,0
mergesort,10,aleatorio,D7,b,0.000996,0
quicksort,10,aleatorio,D7,b,0.000682,0
stdsort,10,aleatorio,D7,b,0.00032,0
mergesort,10,aleatorio,D7,c,0.001041,0
quicksort,10,aleatorio,D7,c,0.000894,0
stdsort,10,aleatorio,D7,c,0.000268,0
mergesort,1000,ascendente,D1,a,0.046048,3
quicksort,1000,ascendente,D1,a,0.012148,0
stdsort,1000,ascendente,D1,a,0.005342,0
mergesort,1000,ascendente,D1,b,0.06249,3
quicksort,1000,ascendente,D1,b,0.006183,0
stdsort,1000,ascendente,D1,b,0.005277,0
mergesort,1000,ascendente,D1,c,0.042743,3
quicksort,1000,ascendente,D1,c,0.006156,0
stdsort,1000,ascendente,D1,c,0.004941,0
mergesort,1000,ascendente,D7,a,0.041894,3
quicksort,1000,ascendente,D7,a,0.030575,0
stdsort,1000,ascendente,D7,a,0.005626,0
mergesort,1000,ascendente,D7,b,0.041988,3
quicksort,1000,ascendente,D7,b,0.029455,0
